index,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
0,,19.29,31.6,0.0,433.0,0.0043714126,0.0
1,,19.89,35.29,0.0,542.0,0.0050730016,0.0
2,,21.2225,19.2,32.25,439.75,0.0029864875,0.0
3,,20.7,32.2,20.666666,678.6667,0.004864813,0.0
4,,20.0,35.59,0.0,537.3333,0.0051517687,0.0
5,,20.6,24.35,0.0,566.0,0.003649131,0.0
6,,22.23,24.793333,0.0,763.25,0.0041088415,0.0
7,,21.0,24.445,0.0,443.5,0.0037553362,0.0
8,,21.1,29.39,0.0,530.0,0.004548593,0.0
9,,21.7,27.1,0.0,532.5,0.004349877,0.0
10,,20.1,35.9,26.5,509.0,0.0052295686,0.0
11,,22.315,26.1,520.6,866.25,0.0043494953,0.0
12,,22.025,25.7225,591.5,590.0,0.0042105895,1.0
13,,20.0,30.29,0.0,713.5,0.004379175,0.0
14,,21.7,29.365,89.5,636.25,0.004716194,0.0
15,,20.79,27.066668,0.0,1285.0,0.0041070217,0.0
16,,20.5,21.2,0.0,453.0,0.0031550366,0.0
17,,20.675,33.975,419.0,527.75,0.0051272265,1.0
18,,23.7,25.293333,797.0,705.6667,0.0045853835,1.0
19,,20.978,25.0,441.0,741.0,0.0038359007,1.0
20,,21.29,27.125,489.25,1000.25,0.004245232,1.0
21,,20.9725,23.29,0.0,504.5,0.0035708037,0.0
22,,19.7,36.5,0.0,504.5,0.005186391,0.0
23,,19.745,19.29,0.0,443.5,0.002737909,0.0
24,,20.533333,30.356667,0.0,753.3333,0.004537063,0.0
25,,20.29,32.9,0.0,466.0,0.004846247,0.0
26,,22.1,20.133333,567.6667,767.0,0.0033060047,1.0
27,,20.79,27.1,14.0,1404.0,0.0041121133,0.0
28,,20.89,27.033333,14.0,1422.0,0.0041274214,0.0
29,,23.0,25.39,68.0,569.5,0.004411221,0.0
30,,19.29,26.89,0.0,469.0,0.003715958,0.0
31,,20.815,22.8675,411.0,497.75,0.0034716697,1.0
32,,20.5,22.29,0.0,438.66666,0.0033181186,0.0
33,,20.5,19.79,0.0,433.66666,0.0029442038,0.0
34,,20.5,19.0,0.0,433.5,0.0028261396,0.0
35,,20.29,33.09,0.0,453.0,0.0048744534,0.0
36,,20.633333,30.89,405.0,823.6667,0.004646141,1.0
37,,21.0,32.2,0.0,521.0,0.0049561826,0.0
38,,19.5,27.7,0.0,444.0,0.0038792612,0.0
39,,22.34,27.39,0.0,623.5,0.0045730504,0.0
40,,22.125,34.4,439.0,1537.5,0.0056787496,1.0
41,,22.715,31.2,441.0,1366.3334,0.0053356923,1.0
42,,20.6,26.793333,0.0,505.66666,0.004017658,0.0
43,,21.34,32.975,474.5,1131.0,0.0051844036,1.0
44,,21.5,27.025,449.0,976.6667,0.004284634,1.0
45,,20.7,22.5,0.0,466.0,0.0033913355,0.0
46,,20.7,29.145,0.0,492.0,0.004399995,0.0
47,,22.6,29.323334,464.0,584.3333,0.0049770274,1.0
48,,20.79,32.045,24.0,685.5,0.0048683328,0.0
49,,23.1,28.5,329.0,627.0,0.0049861716,0.0
50,,19.89,26.893333,0.0,440.66666,0.003858478,0.0
51,,20.39,26.89,0.0,863.3333,0.003979999,0.0
52,,21.9725,27.79,427.25,622.0,0.0045368425,1.0
53,,19.245,31.15,6.0,424.5,0.004296585,0.0
54,,21.1,29.393333,0.0,530.0,0.0045491126,0.0
55,,20.73,22.39,0.0,461.0,0.003380942,0.0
56,,19.29,27.5,0.0,425.0,0.0038007698,0.0
57,,20.29,18.79,0.0,440.0,0.0027585928,0.0
58,,19.29,26.89,0.0,466.0,0.003715958,0.0
59,,21.2,19.315,0.0,491.25,0.003000296,0.0
60,,20.7,22.5,423.66666,465.33334,0.0033913355,0.0
61,,19.4725,30.5,62.0,423.5,0.0042667296,0.0
62,,21.2,25.2,0.0,452.5,0.003920204,0.0
63,,22.1,37.975,433.0,1839.25,0.0062652146,1.0
64,,22.1,21.1475,499.0,893.5,0.0034734663,1.0
65,,22.7,17.025,157.0,439.5,0.00289759,0.0
66,,21.79,29.745,419.0,667.5,0.0048042485,1.0
67,,22.5,29.625,95.5,654.5,0.004997947,0.0
68,,20.79,20.05,0.0,460.0,0.0030371335,0.0
69,,20.39,18.7,0.0,429.0,0.0027624106,0.0
70,,20.89,23.29,396.0,526.0,0.003552629,1.0
71,,20.5,22.463333,0.0,439.0,0.00334406,0.0
72,,20.29,33.0,0.0,487.0,0.004861092,0.0
73,,20.7,24.5,0.0,475.75,0.003694578,0.0
74,,21.365,31.39,433.5,989.75,0.0049408562,1.0
75,,21.0,25.1,0.0,440.0,0.0038565837,0.0
76,,20.6,25.89,0.0,549.0,0.0038813578,0.0
77,,21.89,37.4725,444.0,1774.5,0.0061020358,1.0
78,,19.39,27.6,0.0,434.5,0.0038386472,0.0
79,,20.5,30.39,0.0,761.6667,0.004532682,0.0
80,,20.6,23.84,0.0,568.5,0.0035722624,0.0
81,,21.39,32.296665,441.0,1052.0,0.0050925952,1.0
82,,20.6,25.895,0.0,544.5,0.0038821122,0.0
83,,23.5,26.8675,587.5,573.5,0.004814174,1.0
84,,22.29,26.65,439.0,555.0,0.004435005,1.0
85,,22.525,28.39,526.25,1094.0,0.004795324,1.0
86,,21.5,34.163334,0.0,1469.3334,0.005426242,0.0
