index,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
0,,21.89,30.133333,428.33334,773.3333,0.004897513,1.0
1,,21.89,28.1,0.0,620.0,0.004564614,0.0
2,,22.2,34.345,479.0,1402.0,0.0056957896,1.0
3,,23.0,28.5,322.0,637.0,0.004955853,0.0
4,,20.29,33.0,0.0,482.0,0.004861092,0.0
5,,22.175,34.425,433.0,1809.25,0.005700412,1.0
6,,19.7,28.5,0.0,437.0,0.0040422603,0.0
7,,20.6,24.8,0.0,584.0,0.0037169715,0.0
8,,19.79,28.1,0.0,431.5,0.0040076305,0.0
9,,20.0,35.9,19.0,516.5,0.0051970175,0.0
10,,19.39,31.0,0.0,435.0,0.0043148044,0.0
11,,20.6,25.395,0.0,550.0,0.0038066946,0.0
12,,21.5,20.7,0.0,750.5,0.0032765644,0.0
13,,22.2,34.4,444.0,1410.0,0.0057049943,1.0
14,,20.84,32.045,0.0,510.0,0.0048834574,0.0
15,,20.89,25.5,0.0,524.0,0.003891849,0.0
16,,20.5,32.79,0.0,671.5,0.0048934594,0.0
17,,20.89,25.2,0.0,530.3333,0.0038457792,0.0
18,,19.2,31.39,0.0,436.33334,0.0043177092,0.0
19,,21.29,31.23,433.0,953.3333,0.0048927437,1.0
20,,22.79,25.1,1010.5,1215.5,0.00430498,1.0
21,,21.075,29.5,0.0,526.0,0.004558685,0.0
22,,21.5,25.65,508.0,549.5,0.004065212,1.0
23,,20.066668,32.23,0.0,575.0,0.004681184,0.0
24,,19.89,28.625,389.0,595.0,0.0041085673,1.0
25,,22.2,24.89,545.25,1095.5,0.0041173887,1.0
26,,20.89,25.34,0.0,529.0,0.0038672776,0.0
27,,22.1,26.445,449.5,1040.25,0.004349663,1.0
28,,22.39,25.125,552.0,1142.0,0.004205192,1.0
29,,20.89,36.045,0.0,1237.0,0.005515514,0.0
30,,21.65,33.6175,470.5,1146.25,0.0053884615,1.0
31,,19.6,37.0,0.0,503.0,0.0052252067,0.0
32,,21.39,32.03,433.0,1031.3334,0.005050205,1.0
33,,22.926666,16.89,202.0,446.33334,0.0029144622,0.0
34,,20.34,22.29,0.0,434.0,0.003285328,0.0
35,,21.29,23.89,422.5,650.5,0.0037358932,0.0
36,,19.823334,35.4,0.0,521.6667,0.0050677774,0.0
37,,20.2,18.89,0.0,443.0,0.002757882,0.0
38,,20.7675,25.0,0.0,522.25,0.0037862388,0.0
39,,21.89,28.0,0.0,617.0,0.004548251,0.0
40,,20.245,32.9,0.0,455.0,0.00483268,0.0
41,,19.5,27.0,0.0,460.0,0.0037806334,0.0
42,,19.6,29.79,0.0,435.5,0.0042001223,0.0
43,,21.0,24.96,0.0,576.0,0.0038349403,0.0
44,,21.6,30.2,0.0,905.5,0.004821535,0.0
45,,20.0,30.29,0.0,711.5,0.004379175,0.0
46,,21.2,19.39,0.0,486.0,0.0030120027,0.0
47,,20.7,19.533333,419.0,547.0,0.0029420664,1.0
48,,20.29,18.84,0.0,430.0,0.002765966,0.0
49,,20.15,21.245,0.0,446.5,0.0030937884,0.0
50,,20.89,23.1,0.0,452.5,0.0035234822,0.0
51,,20.445,24.34,292.25,831.0,0.003612707,0.0
52,,20.0,33.9,0.0,547.0,0.0049052066,0.0
53,,20.1,30.29,0.0,715.0,0.004406568,0.0
54,,19.5,27.7,0.0,456.0,0.0038792612,0.0
55,,20.89,32.09,0.0,513.0,0.0049055573,0.0
56,,22.175,34.35,433.0,1705.25,0.0056878794,1.0
57,,21.29,27.895,0.0,567.5,0.0043665874,0.0
58,,21.7,20.89,426.0,780.5,0.0033477324,1.0
59,,22.2,34.29,444.0,1401.5,0.005686585,1.0
60,,20.7,26.5,0.0,1543.0,0.0039981147,0.0
61,,21.0,19.79,24.0,444.0,0.0030367256,0.0
62,,20.2,20.6,0.0,446.0,0.0030087444,0.0
63,,19.2225,30.525,26.5,433.5,0.004203856,0.0
64,,20.29,30.5,0.0,721.0,0.004490169,0.0
65,,23.79,26.125,740.5,1122.5,0.004763231,1.0
66,,20.79,26.55,0.0,1236.0,0.004028117,0.0
67,,21.2,25.0,0.0,443.0,0.003888897,0.0
68,,21.2,33.126667,480.66666,1390.3334,0.005163542,1.0
69,,22.2,17.89,337.5,459.5,0.0029539256,0.0
70,,20.29,32.9,0.0,481.0,0.004846247,0.0
71,,21.323334,25.6,502.0,536.0,0.004013271,1.0
72,,20.89,25.5,0.0,573.0,0.003891849,0.0
73,,19.79,36.4,0.0,505.0,0.005201278,0.0
74,,21.89,30.295,429.0,790.5,0.0049239965,1.0
75,,20.29,33.09,0.0,453.0,0.0048744534,0.0
76,,21.2,18.6,270.0,461.66666,0.0028887158,0.0
77,,19.315,30.575,24.0,428.0,0.004235288,0.0
78,,21.0,24.8,0.0,576.0,0.0038102067,0.0
79,,23.7675,25.7475,668.5,545.0,0.0046874858,0.0
80,,23.6,27.978,470.0,1034.8,0.0050453246,1.0
81,,20.6,24.2,0.0,569.0,0.0036265205,0.0
82,,19.5,30.29,0.0,444.66666,0.004244454,0.0
83,,20.39,22.5,0.0,431.5,0.0033267585,0.0
84,,21.0,24.89,0.0,432.0,0.0038241192,0.0
85,,20.89,29.426666,0.0,1213.6666,0.004495474,0.0
86,,20.0,33.59,0.0,504.0,0.00486,0.0
87,,20.0,18.7,0.0,437.0,0.0026962878,0.0
88,,19.7,19.39,0.0,441.0,0.0027444542,0.0
89,,19.79,36.09,0.0,499.5,0.005156614,0.0
90,,19.39,30.6,0.0,436.0,0.004258748,0.0
91,,19.675,19.4725,31.0,456.5,0.0027518887,0.0
92,,20.1,33.0,0.0,451.5,0.0048038615,0.0
93,,20.1,33.09,0.0,447.0,0.004817065,0.0
94,,20.52,22.29,0.0,453.0,0.0033222376,0.0
95,,20.29,33.09,0.0,454.0,0.0048744534,0.0
96,,21.89,28.54,0.0,610.0,0.004636621,0.0
97,,21.89,30.47,438.0,764.25,0.004952667,1.0
98,,22.245,27.29,0.0,602.5,0.0045297737,0.0
99,,21.7225,28.815,459.0,917.0,0.0046336195,1.0
100,,22.7,26.2,441.0,941.6,0.004470363,1.0
101,,21.0,33.7,0.0,1496.0,0.0051889867,0.0
102,,20.29,22.6,0.0,435.5,0.0033209322,0.0
103,,21.823334,28.823334,162.33333,645.6667,0.00466383,0.0
104,,21.0,29.55,0.0,503.0,0.004545317,0.0
105,,21.6,23.55,0.0,751.5,0.0037534328,0.0
